Column1,Name,P,G
1,Abdoulaye Doucouré,17,6
2,Dominic Calvert-Lewin,15,3
3,Dwight McNeil,16,2
4,Vitalii Mykolenko,14,2
5,Jack Harrison,13,2
6,James Tarkowski,19,1
7,James Garner,18,1
8,Amadou Onana,15,1
9,Idrissa Gueye,14,1
10,Beto,14,1
11,Arnaut Danjuma,11,1
12,Michael Keane,6,1
13,Lewis Dobbin,6,1
14,André Gomes,2,1
15,Jordan Pickford,19,0
16,Nathan Patterson,17,0
17,Jarrad Branthwaite,16,0
18,Ashley Young,15,0
19,Youssef Chermiti,7,0
20,Ben Godfrey,2,0
21,Seamus Coleman,1,0
22,Thomas Cannon,1,0
23,Tyler Onyango,1,0
