Column1,Name,P,G
1,Josh Brownhill,18,3
2,Lyle Foster,10,3
3,Wilson Odobert,10,3
4,Zeki Amdouni,18,2
5,Jacob Bruun Larsen,16,2
6,Jay Rodríguez,13,2
7,Sander Berge,19,1
8,Charlie Taylor,15,1
9,Luca Koleosho,15,1
10,James Trafford,19,0
11,Dara O'Shea,15,0
12,Jordan Beyer,14,0
13,Vitinho,13,0
14,Jóhann Gudmundsson,12,0
15,Mike Trésor,12,0
16,Nathan Redmond,12,0
17,Ameen Al Dakhil,11,0
18,Josh Cullen,11,0
19,Connor Roberts,11,0
20,Aaron Ramsey,9,0
21,Hannes Delcroix,8,0
22,Anass Zaroury,5,0
23,Benson Manuel,4,0
24,Hjalmar Ekdal,3,0
25,Michael Obafemi,2,0
