Column1,Name,P,G
1,Bryan Mbeumo,15,7
2,Yoane Wissa,18,4
3,Mathias Jensen,13,3
4,Neal Maupay,15,2
5,Ethan Pinnock,18,1
6,Christian Nørgaard,17,1
7,Nathan Collins,14,1
8,Saman Ghoddos,13,1
9,Keane Lewis-Potter,12,1
10,Ben Mee,9,1
11,Kevin Schade,5,1
12,Shandon Baptiste,5,1
13,Vitaly Janelt,18,0
14,Mark Flekken,17,0
15,Frank Onyeka,15,0
16,Mads Roerslev,14,0
17,Kristoffer Ajer,11,0
18,Yehor Yarmoliuk,10,0
19,Aaron Hickey,9,0
20,Michael Olakigbe,7,0
21,Mikkel Damsgaard,6,0
22,Rico Henry,5,0
23,Mathias Jorgensen,3,0
24,Myles Peart-Harris,3,0
25,Thomas Strakosha,2,0
