Column1,Name,P,G
1,Dominic Solanke,18,12
2,Antoine Semenyo,15,3
3,Philip Billing,17,2
4,Marcos Senesi,16,2
5,Marcus Tavernier,15,2
6,Justin Kluivert,14,2
7,Luis Sinisterra,11,2
8,David Brooks,11,1
9,Kieffer Moore,7,1
10,Illia Zabarnyi,18,0
11,Ryan Christie,18,0
12,Neto,16,0
13,Milos Kerkez,15,0
14,Lewis Cook,13,0
15,Max Aarons,12,0
16,Dango Ouattara,12,0
17,Joe Rothwell,11,0
18,Adam Smith,10,0
19,Lloyd Kelly,9,0
20,Alex Scott,5,0
21,Chris Mepham,5,0
22,Jaidon Anthony,3,0
23,Hamed Traoré,3,0
24,Andrei Radu,2,0
25,James Hill,1,0
